order_id,customer_id,order_date,order_amount
ORD-10060,CUST-1022,2025-01-06,48.83
ORD-10061,CUST-1022,2025-06-13,227.89
ORD-10062,CUST-1023,2024-05-06,24.57
ORD-10063,CUST-1024,2024-07-26,148.91
ORD-10064,CUST-1024,2024-09-29,90.11
ORD-10065,CUST-1024,2024-11-27,41.46
ORD-10066,CUST-1024,2024-12-17,120.23
ORD-10067,CUST-1024,2025-03-06,143.67
ORD-10068,CUST-1025,2024-02-07,68.62
ORD-10069,CUST-1025,2024-02-13,53.23
ORD-10070,CUST-1025,2024-03-24,34.45
ORD-10071,CUST-1025,2024-05-08,14.51
ORD-10072,CUST-1025,2024-05-14,124.91
ORD-10073,CUST-1025,2024-06-08,21.33
ORD-10074,CUST-1025,2024-07-16,108.03
ORD-10075,CUST-1026,2024-07-31,63.06
ORD-10076,CUST-1027,2024-02-01,14.17
ORD-10077,CUST-1027,2024-07-02,130.0
ORD-10078,CUST-1027,2024-08-29,46.68
ORD-10079,CUST-1027,2024-09-11,23.56
ORD-10080,CUST-1027,2024-09-28,64.29
ORD-10081,CUST-1028,2024-05-22,104.68
ORD-10082,CUST-1028,2024-05-27,20.52
ORD-10083,CUST-1028,2024-06-03,15.2
ORD-10084,CUST-1028,2024-09-03,91.56
ORD-10085,CUST-1028,2024-10-06,19.19
ORD-10086,CUST-1028,2024-11-10,54.19
ORD-10087,CUST-1029,2024-05-29,76.4
ORD-10088,CUST-1029,2024-07-04,138.69
ORD-10089,CUST-1029,2024-08-26,24.06
ORD-10090,CUST-1030,2025-01-11,68.19
ORD-10091,CUST-1031,2024-01-28,19.4
ORD-10092,CUST-1031,2024-02-02,18.95
ORD-10093,CUST-1031,2024-03-29,17.3
ORD-10094,CUST-1031,2024-04-20,133.63
ORD-10095,CUST-1031,2024-04-26,121.99
ORD-10096,CUST-1031,2024-05-15,20.67
ORD-10097,CUST-1032,2025-01-31,47.09
ORD-10098,CUST-1032,2025-02-25,109.87
ORD-10099,CUST-1032,2025-03-20,186.06
ORD-10100,CUST-1032,2025-06-20,48.92
ORD-10101,CUST-1032,2025-08-26,103.8
ORD-10102,CUST-1032,2025-09-04,163.85
ORD-10103,CUST-1033,2024-12-28,18.72
ORD-10104,CUST-1033,2025-01-19,207.3
ORD-10105,CUST-1033,2025-06-08,67.88
ORD-10106,CUST-1034,2024-07-16,16.35
ORD-10107,CUST-1034,2024-08-25,50.37
ORD-10108,CUST-1034,2024-12-06,40.59
ORD-10109,CUST-1034,2024-12-16,22.53
ORD-10110,CUST-1034,2025-02-23,75.09
ORD-10111,CUST-1034,2025-03-04,18.21
ORD-10112,CUST-1035,2024-02-03,293.0
ORD-10113,CUST-1035,2024-02-29,42.6
ORD-10114,CUST-1036,2024-08-11,48.38
ORD-10115,CUST-1036,2024-11-30,20.16
ORD-10116,CUST-1036,2025-01-04,13.24
ORD-10117,CUST-1036,2025-02-06,16.27
ORD-10118,CUST-1037,2025-01-19,43.04
ORD-10119,CUST-1037,2025-02-08,144.42
ORD-10120,CUST-1038,2025-01-22,15.37
ORD-10121,CUST-1039,2024-10-05,51.9
ORD-10122,CUST-1039,2024-11-23,69.56
ORD-10123,CUST-1039,2025-03-12,15.52
ORD-10124,CUST-1039,2025-03-31,207.76
ORD-10125,CUST-1039,2025-07-13,52.03
ORD-10126,CUST-1040,2024-07-04,40.84
ORD-10127,CUST-1041,2024-05-03,121.76
ORD-10128,CUST-1041,2024-06-28,24.04
ORD-10129,CUST-1041,2024-10-19,124.88
ORD-10130,CUST-1042,2024-01-11,43.2
ORD-10131,CUST-1042,2024-03-30,296.18
ORD-10132,CUST-1042,2024-04-11,71.11
ORD-10133,CUST-1042,2024-05-07,240.24
ORD-10134,CUST-1043,2024-12-11,121.45
ORD-10135,CUST-1043,2025-12-18,382.67
ORD-10136,CUST-1043,2026-01-28,107.74
ORD-10137,CUST-1044,2025-01-16,73.07
ORD-10138,CUST-1044,2025-02-01,84.9
ORD-10139,CUST-1045,2024-09-25,60.25
ORD-10140,CUST-1046,2024-01-12,103.96
ORD-10141,CUST-1046,2024-02-29,91.65
ORD-10142,CUST-1046,2024-03-15,22.03
ORD-10143,CUST-1046,2024-03-20,40.56
ORD-10144,CUST-1046,2024-05-04,44.87
ORD-10145,CUST-1047,2025-01-05,56.54
ORD-10146,CUST-1047,2025-01-23,52.45
ORD-10147,CUST-1047,2025-07-23,56.6
ORD-10148,CUST-1047,2025-08-14,77.73
ORD-10149,CUST-1047,2025-08-31,17.63
ORD-10150,CUST-1047,2025-09-11,21.41
ORD-10151,CUST-1047,2025-09-23,22.21
ORD-10152,CUST-1048,2024-12-24,54.25
ORD-10153,CUST-1049,2024-01-17,24.53
ORD-10154,CUST-1050,2024-02-18,52.65
ORD-10155,CUST-1051,2024-01-16,116.92
ORD-10156,CUST-1052,2024-04-20,119.16
ORD-10157,CUST-1052,2024-06-26,25.76
ORD-10158,CUST-1053,2024-05-27,52.86
ORD-10159,CUST-1054,2024-10-12,159.12
ORD-10160,CUST-1055,2024-04-17,43.29
ORD-10161,CUST-1055,2024-04-22,37.77
ORD-10162,CUST-1055,2024-05-07,38.29
ORD-10163,CUST-1056,2024-08-02,69.95
ORD-10164,CUST-1056,2024-10-07,49.23
ORD-10165,CUST-1056,2024-10-18,34.19
ORD-10166,CUST-1056,2024-11-12,79.98
ORD-10167,CUST-1057,2024-02-10,23.28
ORD-10168,CUST-1057,2024-02-27,23.89
ORD-10169,CUST-1058,2024-12-24,17.94
ORD-10170,CUST-1059,2024-03-09,84.3
ORD-10171,CUST-1059,2024-07-11,65.39
ORD-10172,CUST-1059,2024-08-23,33.85
ORD-10173,CUST-1059,2024-11-02,25.96
ORD-10174,CUST-1059,2024-11-24,48.52
ORD-10175,CUST-1059,2024-12-30,30.54
ORD-10176,CUST-1060,2024-08-01,15.96
ORD-10177,CUST-1060,2024-08-24,21.88
ORD-10178,CUST-1060,2024-08-31,311.58
ORD-10179,CUST-1061,2024-05-19,184.92
ORD-10180,CUST-1061,2024-08-11,230.46
ORD-10181,CUST-1061,2024-08-21,97.82
ORD-10182,CUST-1061,2024-12-29,25.5
ORD-10183,CUST-1061,2025-01-06,100.34
ORD-10184,CUST-1062,2024-03-06,122.03
ORD-10185,CUST-1062,2024-04-29,60.62
ORD-10186,CUST-1062,2024-05-24,148.82
ORD-10187,CUST-1063,2024-07-20,29.68
ORD-10188,CUST-1063,2024-11-05,43.98
ORD-10189,CUST-1063,2024-12-15,166.52
ORD-10190,CUST-1063,2025-02-02,20.58
ORD-10191,CUST-1064,2024-12-23,113.51
ORD-10192,CUST-1064,2025-01-04,36.78
ORD-10193,CUST-1064,2025-01-21,101.05
ORD-10194,CUST-1064,2025-01-27,67.34
ORD-10195,CUST-1065,2024-06-07,116.24
ORD-10196,CUST-1065,2024-06-19,29.43
ORD-10197,CUST-1065,2024-08-20,95.25
ORD-10198,CUST-1065,2024-10-10,89.46
ORD-10199,CUST-1066,2024-03-13,167.91
ORD-10200,CUST-1067,2024-01-08,146.19
ORD-10201,CUST-1067,2024-05-13,66.63
ORD-10202,CUST-1067,2024-07-10,178.74
ORD-10203,CUST-1067,2024-09-08,23.26
ORD-10204,CUST-1067,2024-10-21,73.16
ORD-10205,CUST-1068,2025-01-03,145.06
ORD-10206,CUST-1068,2025-02-09,70.66
ORD-10207,CUST-1068,2025-03-08,16.16
ORD-10208,CUST-1068,2025-03-31,118.05
ORD-10209,CUST-1068,2025-04-05,38.87
ORD-10210,CUST-1068,2025-05-02,62.61
ORD-10211,CUST-1069,2024-10-22,51.62
ORD-10212,CUST-1070,2024-06-16,172.61
ORD-10213,CUST-1070,2024-07-11,68.98
ORD-10214,CUST-1071,2025-01-19,22.96
ORD-10215,CUST-1072,2024-01-27,102.6
ORD-10216,CUST-1072,2024-02-11,160.92
ORD-10217,CUST-1073,2024-07-07,66.58
ORD-10218,CUST-1074,2024-03-13,141.13
ORD-10219,CUST-1074,2024-07-27,42.87
ORD-10220,CUST-1074,2024-08-15,79.63
ORD-10221,CUST-1074,2024-09-12,14.17
ORD-10222,CUST-1074,2024-09-24,94.31
ORD-10223,CUST-1075,2024-04-02,84.94
ORD-10224,CUST-1076,2024-09-18,30.18
ORD-10225,CUST-1077,2024-09-24,27.41
ORD-10226,CUST-1077,2024-10-14,159.83
ORD-10227,CUST-1077,2024-10-19,18.31
ORD-10228,CUST-1078,2024-08-21,48.07
ORD-10229,CUST-1079,2024-09-06,46.73
ORD-10230,CUST-1079,2024-10-17,49.74
ORD-10231,CUST-1079,2024-11-06,205.24
ORD-10232,CUST-1079,2025-01-14,22.31
ORD-10233,CUST-1080,2024-04-17,63.21
ORD-10234,CUST-1080,2024-06-06,31.89
ORD-10235,CUST-1080,2024-06-17,129.59
ORD-10236,CUST-1081,2024-12-31,20.64
ORD-10237,CUST-1081,2025-02-12,33.32
ORD-10238,CUST-1082,2024-02-24,162.18
ORD-10239,CUST-1082,2024-06-01,71.64
ORD-10240,CUST-1083,2024-01-19,24.32
ORD-10241,CUST-1083,2024-03-24,18.12
ORD-10242,CUST-1083,2024-05-09,30.8
ORD-10243,CUST-1083,2024-06-05,34.64
ORD-10244,CUST-1084,2024-01-13,32.27
ORD-10245,CUST-1084,2024-02-27,15.93
ORD-10246,CUST-1084,2024-04-02,71.55
ORD-10247,CUST-1084,2024-04-25,108.29
ORD-10248,CUST-1084,2024-05-05,17.58
ORD-10249,CUST-1084,2024-07-07,56.97
ORD-10250,CUST-1085,2024-05-24,18.74
ORD-10251,CUST-1085,2024-09-18,22.06
ORD-10252,CUST-1085,2025-02-05,50.89
ORD-10253,CUST-1085,2025-02-19,63.24
ORD-10254,CUST-1085,2025-05-27,98.14
ORD-10255,CUST-1086,2025-01-30,199.93
ORD-10256,CUST-1086,2025-02-05,91.98
ORD-10257,CUST-1086,2025-06-06,25.44
ORD-10258,CUST-1086,2025-07-18,173.11
ORD-10259,CUST-1087,2024-08-26,29.49
ORD-10260,CUST-1087,2024-09-05,17.7
ORD-10261,CUST-1087,2024-11-02,39.5
ORD-10262,CUST-1087,2025-01-04,16.89
ORD-10263,CUST-1087,2025-01-26,62.9
ORD-10264,CUST-1087,2025-04-11,37.45
ORD-10265,CUST-1087,2025-05-30,153.64
ORD-10266,CUST-1087,2025-07-17,29.74
ORD-10267,CUST-1087,2025-07-23,145.16
ORD-10268,CUST-1088,2024-12-15,281.63
ORD-10269,CUST-1088,2025-02-23,47.66
ORD-10270,CUST-1088,2025-03-24,99.46
ORD-10271,CUST-1088,2025-04-10,20.11
ORD-10272,CUST-1088,2025-05-04,34.51
ORD-10273,CUST-1088,2025-05-24,29.79
ORD-10274,CUST-1088,2025-05-30,13.67
ORD-10275,CUST-1088,2025-12-18,48.78
ORD-10276,CUST-1089,2024-06-16,149.84
ORD-10277,CUST-1089,2024-10-29,53.45
ORD-10278,CUST-1089,2024-12-15,24.38
ORD-10279,CUST-1090,2024-04-02,25.12
ORD-10280,CUST-1090,2024-04-18,25.91
ORD-10281,CUST-1090,2024-06-30,40.51
ORD-10282,CUST-1091,2024-11-22,29.02
ORD-10283,CUST-1091,2024-12-08,62.55
ORD-10284,CUST-1091,2025-01-22,68.9
ORD-10285,CUST-1091,2025-01-31,148.96
ORD-10286,CUST-1091,2025-02-18,21.52
ORD-10287,CUST-1091,2025-06-01,215.02
ORD-10288,CUST-1091,2025-09-03,120.28
ORD-10289,CUST-1092,2024-04-13,96.04
ORD-10290,CUST-1092,2024-05-18,17.99
ORD-10291,CUST-1093,2024-08-24,125.67
ORD-10292,CUST-1093,2024-09-17,86.16
ORD-10293,CUST-1093,2024-10-29,32.69
ORD-10294,CUST-1094,2024-12-18,146.04
ORD-10295,CUST-1094,2024-12-24,126.1
ORD-10296,CUST-1094,2025-01-04,39.03
ORD-10297,CUST-1094,2025-03-11,23.89
ORD-10298,CUST-1094,2025-05-31,128.5
ORD-10299,CUST-1094,2025-07-06,12.92
ORD-10300,CUST-1094,2025-07-26,74.87
ORD-10301,CUST-1094,2026-01-25,77.45
ORD-10302,CUST-1094,2026-02-12,77.83
ORD-10303,CUST-1095,2024-09-10,187.26
ORD-10304,CUST-1095,2024-09-19,192.44
ORD-10305,CUST-1095,2024-11-15,17.07
ORD-10306,CUST-1095,2024-12-06,92.55
ORD-10307,CUST-1096,2024-12-14,248.46
ORD-10308,CUST-1096,2025-05-24,102.52
ORD-10309,CUST-1097,2024-05-09,56.09
ORD-10310,CUST-1098,2024-11-13,89.4
ORD-10311,CUST-1098,2024-11-29,18.09
ORD-10312,CUST-1098,2025-01-24,81.58
ORD-10313,CUST-1098,2025-02-12,208.36
ORD-10314,CUST-1098,2025-02-24,49.3
ORD-10315,CUST-1099,2024-03-26,14.56
ORD-10316,CUST-1099,2024-05-17,42.38
ORD-10317,CUST-1099,2024-08-19,54.16
ORD-10318,CUST-1099,2025-01-26,25.84
ORD-10319,CUST-1099,2025-05-02,109.92
ORD-10320,CUST-1099,2025-07-12,133.59
ORD-10321,CUST-1100,2025-01-03,74.82
ORD-10322,CUST-1101,2024-10-01,49.07
ORD-10323,CUST-1102,2024-11-15,36.65
ORD-10324,CUST-1102,2024-12-17,13.26
ORD-10325,CUST-1103,2024-04-26,89.68
ORD-10326,CUST-1104,2024-04-06,293.12
ORD-10327,CUST-1104,2024-04-17,57.41
ORD-10328,CUST-1105,2024-05-10,59.9
ORD-10329,CUST-1106,2024-02-01,45.37
ORD-10330,CUST-1107,2024-09-11,92.18
ORD-10331,CUST-1107,2024-09-17,191.39
ORD-10332,CUST-1107,2024-09-24,63.16
ORD-10333,CUST-1107,2024-11-23,145.6
ORD-10334,CUST-1108,2024-11-22,51.63
ORD-10335,CUST-1108,2025-01-12,61.08
ORD-10336,CUST-1108,2025-03-17,18.04
ORD-10337,CUST-1108,2025-03-24,30.95
ORD-10338,CUST-1109,2024-11-11,82.38
ORD-10339,CUST-1109,2024-12-17,65.18
ORD-10340,CUST-1109,2025-02-17,29.36
ORD-10341,CUST-1110,2024-01-13,31.87
ORD-10342,CUST-1110,2024-02-14,144.26
ORD-10343,CUST-1110,2024-04-17,100.74
ORD-10344,CUST-1111,2024-01-17,143.65
ORD-10345,CUST-1112,2024-03-25,75.9
ORD-10346,CUST-1112,2024-05-13,98.36
ORD-10347,CUST-1112,2024-05-24,94.28
ORD-10348,CUST-1112,2024-09-13,25.37
ORD-10349,CUST-1112,2024-09-30,243.52
ORD-10350,CUST-1112,2024-10-13,137.74
ORD-10351,CUST-1112,2024-11-17,30.96
ORD-10352,CUST-1113,2024-06-05,239.17
ORD-10353,CUST-1113,2024-06-23,82.0
ORD-10354,CUST-1113,2024-07-15,109.02
ORD-10355,CUST-1114,2024-03-08,60.18
ORD-10356,CUST-1114,2024-03-31,127.25
ORD-10357,CUST-1115,2024-03-08,14.93
ORD-10358,CUST-1115,2024-05-11,83.35
ORD-10359,CUST-1116,2024-04-17,16.32
ORD-10360,CUST-1116,2024-05-26,191.79
ORD-10361,CUST-1116,2024-06-01,20.97
ORD-10362,CUST-1116,2024-07-03,189.05
ORD-10363,CUST-1117,2025-01-29,230.63
ORD-10364,CUST-1118,2024-01-12,36.42
ORD-10365,CUST-1118,2024-03-11,27.16
ORD-10366,CUST-1118,2024-05-05,240.24
ORD-10367,CUST-1118,2024-05-14,85.08
ORD-10368,CUST-1118,2024-06-14,144.19
ORD-10369,CUST-1118,2024-06-27,89.18
ORD-10370,CUST-1119,2025-01-07,88.53
ORD-10371,CUST-1119,2025-03-03,28.29
ORD-10372,CUST-1119,2025-04-25,45.04
ORD-10373,CUST-1119,2025-06-16,19.83
ORD-10374,CUST-1119,2025-08-08,496.21
ORD-10375,CUST-1120,2024-09-24,119.71
ORD-10376,CUST-1120,2024-12-02,116.41
ORD-10377,CUST-1120,2025-01-01,123.18
ORD-10378,CUST-1120,2025-01-11,63.61
ORD-10379,CUST-1120,2025-01-16,38.01
ORD-10380,CUST-1120,2025-02-10,45.29
ORD-10381,CUST-1120,2025-04-09,44.48
ORD-10382,CUST-1121,2024-01-30,72.62
ORD-10383,CUST-1122,2024-05-16,43.59
ORD-10384,CUST-1122,2024-06-12,68.91
ORD-10385,CUST-1122,2024-07-21,73.36
ORD-10386,CUST-1122,2024-09-29,121.48
ORD-10387,CUST-1122,2024-11-29,214.83
ORD-10388,CUST-1123,2024-09-15,160.9
ORD-10389,CUST-1124,2024-07-13,31.79
ORD-10390,CUST-1124,2024-08-02,36.36
ORD-10391,CUST-1124,2024-10-19,62.86
ORD-10392,CUST-1125,2024-03-13,86.79
ORD-10393,CUST-1125,2024-03-27,60.91
ORD-10394,CUST-1125,2024-05-26,19.85
ORD-10395,CUST-1126,2024-01-18,77.68
ORD-10396,CUST-1126,2024-06-07,72.32
ORD-10397,CUST-1126,2024-08-27,152.64
ORD-10398,CUST-1127,2024-12-01,162.18
ORD-10399,CUST-1128,2024-11-25,48.33
ORD-10400,CUST-1129,2024-08-22,24.46
ORD-10401,CUST-1130,2024-09-13,73.22
ORD-10402,CUST-1130,2024-10-23,29.65
ORD-10403,CUST-1131,2024-10-14,89.14
ORD-10404,CUST-1131,2025-05-20,21.43
ORD-10405,CUST-1131,2025-05-29,96.26
ORD-10406,CUST-1131,2025-07-11,33.33
ORD-10407,CUST-1131,2025-07-19,18.32
ORD-10408,CUST-1132,2024-03-31,41.0
ORD-10409,CUST-1133,2024-08-04,150.36
ORD-10410,CUST-1133,2024-09-25,61.99
ORD-10411,CUST-1134,2024-10-19,53.18
ORD-10412,CUST-1134,2024-10-26,66.2
ORD-10413,CUST-1134,2025-03-22,25.03
ORD-10414,CUST-1135,2024-06-29,104.23
ORD-10415,CUST-1136,2025-01-31,182.63
ORD-10416,CUST-1136,2025-03-11,132.45
ORD-10417,CUST-1136,2025-04-18,76.01
ORD-10418,CUST-1136,2025-04-27,103.99
ORD-10419,CUST-1137,2024-04-15,41.52
ORD-10420,CUST-1137,2024-04-24,192.16
ORD-10421,CUST-1137,2024-06-04,36.2
ORD-10422,CUST-1138,2024-11-22,43.64
ORD-10423,CUST-1138,2025-03-01,144.15
ORD-10424,CUST-1138,2025-05-18,113.95
ORD-10425,CUST-1138,2025-06-08,17.98
ORD-10426,CUST-1138,2025-07-06,24.89
ORD-10427,CUST-1138,2025-09-02,40.11
ORD-10428,CUST-1138,2026-02-21,79.08
ORD-10429,CUST-1138,2026-05-14,21.74
ORD-10430,CUST-1139,2024-02-28,42.28
ORD-10431,CUST-1139,2024-03-07,14.2
ORD-10432,CUST-1139,2024-03-18,227.0
ORD-10433,CUST-1139,2024-04-27,231.95
ORD-10434,CUST-1139,2024-05-27,36.79
ORD-10435,CUST-1140,2024-09-04,80.78
ORD-10436,CUST-1140,2024-09-16,16.62
ORD-10437,CUST-1141,2024-10-05,279.99
ORD-10438,CUST-1141,2024-10-22,22.47
ORD-10439,CUST-1142,2024-10-03,16.68
ORD-10440,CUST-1143,2024-12-20,51.33
ORD-10441,CUST-1143,2025-01-03,42.3
ORD-10442,CUST-1143,2025-02-01,126.74
ORD-10443,CUST-1143,2025-04-06,107.83
ORD-10444,CUST-1143,2025-04-11,47.48
ORD-10445,CUST-1143,2025-05-15,13.76
ORD-10446,CUST-1144,2024-01-05,30.44
ORD-10447,CUST-1144,2024-06-25,117.61
ORD-10448,CUST-1145,2024-07-14,23.07
ORD-10449,CUST-1145,2024-08-05,99.4
ORD-10450,CUST-1145,2024-09-08,43.14
ORD-10451,CUST-1145,2024-10-05,52.49
ORD-10452,CUST-1146,2024-12-02,15.05
ORD-10453,CUST-1146,2025-03-21,52.73
ORD-10454,CUST-1146,2025-05-10,82.5
ORD-10455,CUST-1146,2025-08-24,78.31
ORD-10456,CUST-1146,2025-10-10,16.98
ORD-10457,CUST-1147,2024-01-17,18.26
ORD-10458,CUST-1147,2024-03-18,17.36
ORD-10459,CUST-1148,2024-04-28,40.47
ORD-10460,CUST-1148,2024-07-09,82.89
ORD-10461,CUST-1149,2024-09-21,106.46
ORD-10462,CUST-1150,2025-01-22,35.26
ORD-10463,CUST-1151,2024-09-03,109.35
ORD-10464,CUST-1151,2024-10-24,61.62
ORD-10465,CUST-1152,2024-05-15,183.6
ORD-10466,CUST-1152,2024-05-31,42.76
ORD-10467,CUST-1152,2024-06-30,50.12
ORD-10468,CUST-1152,2024-08-16,198.79
ORD-10469,CUST-1152,2024-09-02,20.92
ORD-10470,CUST-1152,2024-09-16,154.18
ORD-10471,CUST-1152,2024-11-06,34.39
ORD-10472,CUST-1152,2025-01-26,140.94
ORD-10473,CUST-1153,2024-08-06,284.07
ORD-10474,CUST-1153,2024-12-13,15.37
ORD-10475,CUST-1153,2024-12-26,21.68
ORD-10476,CUST-1153,2025-02-27,123.17
ORD-10477,CUST-1153,2025-03-14,58.32
ORD-10478,CUST-1153,2025-06-09,98.28
ORD-10479,CUST-1153,2025-07-19,70.51
ORD-10480,CUST-1154,2024-09-11,105.57
ORD-10481,CUST-1154,2024-09-23,52.74
ORD-10482,CUST-1155,2024-06-09,117.14
ORD-10483,CUST-1155,2024-06-24,65.14
ORD-10484,CUST-1156,2024-10-31,14.84
ORD-10485,CUST-1156,2025-01-05,27.21
ORD-10486,CUST-1156,2025-06-01,42.32
ORD-10487,CUST-1156,2025-06-23,22.98
ORD-10488,CUST-1157,2024-10-05,12.71
ORD-10489,CUST-1157,2024-11-22,41.05
ORD-10490,CUST-1157,2025-02-06,18.84
ORD-10491,CUST-1157,2025-03-22,55.13
ORD-10492,CUST-1157,2025-05-12,16.86
ORD-10493,CUST-1157,2025-06-25,66.08
ORD-10494,CUST-1157,2025-08-06,72.63
ORD-10495,CUST-1158,2024-01-24,38.94
ORD-10496,CUST-1158,2024-04-07,92.44
ORD-10497,CUST-1158,2024-06-20,59.84
ORD-10498,CUST-1159,2024-06-22,18.53
ORD-10499,CUST-1160,2024-06-12,131.54
ORD-10500,CUST-1160,2024-07-08,67.64
ORD-10501,CUST-1160,2024-08-21,25.76
ORD-10502,CUST-1160,2024-09-15,38.97
ORD-10503,CUST-1160,2024-09-21,14.09
ORD-10504,CUST-1160,2024-12-15,33.23
ORD-10505,CUST-1160,2025-01-21,35.57
ORD-10506,CUST-1161,2024-03-15,117.98
ORD-10507,CUST-1161,2024-04-16,55.38
ORD-10508,CUST-1162,2024-06-23,97.49
ORD-10509,CUST-1163,2024-10-27,82.04
ORD-10510,CUST-1164,2024-04-22,32.22
ORD-10511,CUST-1165,2024-01-27,55.96
ORD-10512,CUST-1165,2024-02-02,16.71
ORD-10513,CUST-1165,2024-05-23,22.25
ORD-10514,CUST-1165,2024-07-01,46.92
ORD-10515,CUST-1166,2025-01-20,65.89
ORD-10516,CUST-1167,2024-10-19,271.14
ORD-10517,CUST-1168,2024-02-15,23.16
ORD-10518,CUST-1168,2024-03-02,31.28
ORD-10519,CUST-1168,2024-05-31,66.04
ORD-10520,CUST-1168,2024-07-08,20.42
ORD-10521,CUST-1168,2024-10-09,95.9
ORD-10522,CUST-1169,2024-03-07,201.86
ORD-10523,CUST-1169,2024-06-05,84.37
ORD-10524,CUST-1169,2024-07-07,46.99
ORD-10525,CUST-1170,2024-01-21,112.8
ORD-10526,CUST-1170,2024-02-05,31.95
ORD-10527,CUST-1170,2024-02-18,38.55
ORD-10528,CUST-1171,2025-01-28,108.6
ORD-10529,CUST-1171,2025-02-03,16.88
ORD-10530,CUST-1171,2025-03-08,168.46
ORD-10531,CUST-1171,2025-04-16,57.27
ORD-10532,CUST-1171,2025-04-26,82.01
ORD-10533,CUST-1172,2024-07-28,34.5
ORD-10534,CUST-1172,2024-10-11,68.52
ORD-10535,CUST-1173,2024-05-06,139.0
ORD-10536,CUST-1173,2024-08-25,33.57
ORD-10537,CUST-1173,2025-03-02,22.36
ORD-10538,CUST-1173,2025-03-17,25.74
ORD-10539,CUST-1173,2025-06-30,81.54
ORD-10540,CUST-1174,2024-06-16,281.74
ORD-10541,CUST-1174,2024-08-09,77.95
ORD-10542,CUST-1174,2024-08-22,151.37
ORD-10543,CUST-1174,2024-09-21,24.01
ORD-10544,CUST-1174,2024-09-26,65.83
ORD-10545,CUST-1175,2024-12-09,123.62
ORD-10546,CUST-1175,2025-01-18,93.02
ORD-10547,CUST-1175,2025-02-08,53.91
ORD-10548,CUST-1176,2024-10-11,126.16
ORD-10549,CUST-1176,2024-10-20,30.33
ORD-10550,CUST-1176,2024-10-31,40.3
ORD-10551,CUST-1176,2024-12-01,102.3
ORD-10552,CUST-1177,2024-09-27,38.06
ORD-10553,CUST-1177,2024-11-23,17.19
ORD-10554,CUST-1177,2024-12-06,138.35
ORD-10555,CUST-1177,2024-12-22,130.43
ORD-10556,CUST-1177,2025-01-10,79.43
ORD-10557,CUST-1178,2024-05-01,81.33
